SDG,Target,Globaler Inhalt (paraphrasiert),Europa/Deutschland-Bezug,Wirkungsökonomische Bedeutung
SDG 14 - Leben unter Wasser,14.5,Küsten- und Meeresgebiete schützen.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 14 - Leben unter Wasser,14.6,Schädliche Fischereisubventionen abbauen.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 14 - Leben unter Wasser,14.7,Nachhaltige Nutzung mariner Ressourcen für kleine Insel- und Küstenstaaten stärken.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 14 - Leben unter Wasser,14.a,Meeresforschung und Technologietransfer stärken.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 14 - Leben unter Wasser,14.b,Kleinfischerei Zugang zu Ressourcen und Märkten sichern.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 14 - Leben unter Wasser,14.c,Internationales Seerecht und Meeresschutz stärken.,"Europa/Deutschland: Meeres- und Küstenschutz, Fischerei, Plastik, Nährstoffeinträge, Schifffahrt und Lieferketten adressieren.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.1,Terrestrische und Binnengewässer-Ökosysteme schützen.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.2,Wälder nachhaltig bewirtschaften und Entwaldung stoppen.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.3,Wüstenbildung bekämpfen und degradierte Flächen wiederherstellen.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.4,Bergökosysteme schützen.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.5,Biodiversitätsverlust verringern und Arten schützen.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.6,Faire Nutzung genetischer Ressourcen sichern.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.7,Wilderei und illegalen Handel mit geschützten Arten bekämpfen.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.8,Invasive Arten verhindern und managen.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.9,Ökosystem- und Biodiversitätswerte in Planung und Berichte integrieren.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.a,Finanzmittel für Biodiversität und Ökosysteme mobilisieren.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.b,Mittel für nachhaltige Waldwirtschaft mobilisieren.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
SDG 15 - Leben an Land,15.c,Lokale Gemeinschaften gegen Wilderei und illegalen Handel unterstützen.,"Europa/Deutschland: Biodiversität, Böden, Wälder, Flächenverbrauch, Renaturierung, Landwirtschaft und Natur als Infrastruktur übersetzen.","WÖk: Ziel wird in Produkt-, Kapital-, Infrastruktur-, Ressourcen- und Steuerungsdaten übersetzt; Rückkopplung über WÖk-IDs, Scorecards, WUStG, T-SROI und Wirkungsfonds."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.1,Gewalt und gewaltbedingte Todesfälle reduzieren.,"Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.2,"Missbrauch, Ausbeutung und Gewalt gegen Kinder beenden.","Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.3,Rechtsstaatlichkeit und Zugang zu Justiz fördern.,"Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.4,Illegale Finanz- und Waffenströme reduzieren.,"Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.5,Korruption und Bestechung verringern.,"Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.6,"Leistungsfähige, rechenschaftspflichtige Institutionen aufbauen.","Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.7,"Inklusive, partizipative und repräsentative Entscheidungsprozesse sichern.","Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.8,Teilhabe von Entwicklungsländern in globalen Institutionen stärken.,"Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.9,Rechtliche Identität und Geburtsregistrierung sichern.,"Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.10,Zugang zu Informationen und Grundfreiheiten schützen.,"Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.a,Kapazitäten zur Gewaltprävention und Terrorismus-/Kriminalitätsbekämpfung stärken.,"Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
"SDG 16 - Frieden, Gerechtigkeit und starke Institutionen",16.b,Nichtdiskriminierende Gesetze und Politiken fördern.,"Europa/Deutschland: Rechtsstaat, Institutionen, Korruption, Gewaltprävention, Zugang zu Informationen, Beteiligung und SDG+ vertiefen.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.1,Inländische Ressourcenmobilisierung und Steuerkapazität stärken.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.2,Entwicklungszusammenarbeit und Zusagen umsetzen.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.3,Zusätzliche Finanzmittel mobilisieren.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.4,Schuldenmanagement und Schuldentragfähigkeit unterstützen.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.5,Investitionsförderung für Entwicklungsländer stärken.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.6,"Wissenschaft, Technologie und Wissenstransfer ausbauen.","Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.7,Umweltfreundliche Technologien fördern.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.8,Technologiebank und IKT-Nutzung stärken.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.9,Kapazitätsaufbau unterstützen.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.10,Regelbasiertes und nichtdiskriminierendes Handelssystem fördern.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.11,Exporte von Entwicklungsländern erhöhen.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.12,Zoll- und Marktzugang verbessern.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.13,Makroökonomische Stabilität stärken.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.14,Politikkohärenz für nachhaltige Entwicklung verbessern.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.15,Nationale Eigenverantwortung und politische Spielräume achten.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.16,Globale Partnerschaften für nachhaltige Entwicklung stärken.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.17,Öffentlich-private und zivilgesellschaftliche Partnerschaften fördern.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.18,Datenverfügbarkeit und statistische Kapazitäten ausbauen.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
SDG 17 - Partnerschaften zur Erreichung der Ziele,17.19,Fortschrittsmessung jenseits des BIP und statistische Systeme weiterentwickeln.,"Europa/Deutschland: Partnerschaften, Daten, Finanzierung, Handel, Politikkohärenz, EU-Standards und globale Anschlussfähigkeit sichern.","WÖk: Ziel wird zu Governance-, Vertrauens-, Rechtsstaatlichkeits-, Daten- und Partnerschaftslogik; enger Bezug zu SDG+."
